,Silhouette Score,Purity Score
KMEANS (TFIDF - News),0.822136418781118,0.48763523956723337
HIERARCHICAL (TFIDF - News),0.9413283225483743,0.4957496136012365
GMM (TFIDF - News),0.9394440735632638,0.49304482225656876
LDA (TFIDF - News),-0.9272659529220285,0.44474497681607417
KMEANS (TFIDF - Wiki),0.5964076049788585,
HIERARCHICAL (TFIDF - Wiki),0.7150109048336474,
GMM (TFIDF - Wiki),0.7027593887518714,
LDA (TFIDF - Wiki),-0.9845278026170957,
KMEANS (WORD2VEC - News),,
HIERARCHICAL (WORD2VEC - News),,
GMM (WORD2VEC - News),,
KMEANS (WORD2VEC - Wiki),0.21361813039569696,
HIERARCHICAL (WORD2VEC - Wiki),0.10751825972895482,
GMM (WORD2VEC - Wiki),0.12872670292600527,
KMEANS (GLOVE - News),,
HIERARCHICAL (GLOVE - News),,
GMM (GLOVE - News),,
KMEANS (GLOVE - Wiki),0.15777801107364292,
HIERARCHICAL (GLOVE - Wiki),0.07295574933972397,
GMM (GLOVE - Wiki),0.0671301182409249,
